ts,airline,hour,count,min,p25,p50,p75,p90,max
2025-02-01T00:00:00Z,AA,0,248,-15.00,-5.64,-3.01,2.77,22.65,559.00
2025-02-01T00:00:00Z,AA,1,19,-18.00,-8.00,-6.00,4.00,22.00,318.00
2025-02-01T00:00:00Z,AA,5,2779,-19.00,-7.47,-4.51,-0.99,10.87,1684.00
2025-02-01T00:00:00Z,AA,6,5111,-18.00,-7.11,-4.37,-1.05,10.93,2455.00
2025-02-01T00:00:00Z,AA,7,5409,-17.00,-6.68,-3.97,-0.32,15.13,1803.00
2025-02-01T00:00:00Z,AA,8,5538,-19.00,-6.09,-3.38,0.83,22.71,2336.00
2025-02-01T00:00:00Z,AA,9,3938,-19.00,-5.49,-2.71,2.74,26.08,2063.00
2025-02-01T00:00:00Z,AA,10,3991,-26.00,-5.35,-2.24,6.57,37.24,3298.00
2025-02-01T00:00:00Z,AA,11,4551,-18.00,-5.13,-1.93,7.36,38.78,2127.00
2025-02-01T00:00:00Z,AA,12,3959,-18.00,-4.85,-1.05,11.99,45.77,2646.00
2025-02-01T00:00:00Z,AA,13,3984,-18.00,-5.29,-1.85,9.77,46.05,1293.00
2025-02-01T00:00:00Z,AA,14,4260,-26.00,-5.17,-1.60,12.36,48.79,1311.00
2025-02-01T00:00:00Z,AA,15,3487,-20.00,-5.44,-1.83,11.34,52.56,1485.00
2025-02-01T00:00:00Z,AA,16,4176,-26.00,-5.33,-1.79,10.16,47.43,1468.00
2025-02-01T00:00:00Z,AA,17,4504,-21.00,-5.67,-1.67,12.78,49.47,1185.00
2025-02-01T00:00:00Z,AA,18,4414,-34.00,-4.96,-1.06,14.30,52.06,1353.00
2025-02-01T00:00:00Z,AA,19,3580,-25.00,-5.25,-0.99,16.59,59.96,1613.00
2025-02-01T00:00:00Z,AA,20,2916,-28.00,-4.69,-0.75,15.87,49.47,972.00
2025-02-01T00:00:00Z,AA,21,2404,-19.00,-4.32,-0.57,16.64,52.34,1147.00
2025-02-01T00:00:00Z,AA,22,2060,-20.00,-5.88,-2.45,9.90,41.08,1447.00
2025-02-01T00:00:00Z,AA,23,754,-19.00,-6.00,-2.25,4.92,28.18,1041.00
2025-02-01T00:00:00Z,DL,0,53,-28.00,-13.00,-9.00,-4.00,2.00,30.00
